IssueKey,PersonKey,RoleType
64,501,Contributor
64,718,Contributor
64,574,Owner
64,634,Owner
65,728,Contributor
65,63,Contributor
65,526,Contributor
65,424,Contributor
65,147,Contributor
65,666,Owner
65,790,Owner
65,720,Owner
66,88,Contributor
66,138,Contributor
66,145,Owner
67,747,Contributor
67,151,Contributor
67,69,Contributor
67,233,Contributor
67,289,Contributor
67,344,Owner
67,710,Owner
67,829,Owner
68,440,Contributor
68,310,Owner
69,694,Contributor
69,812,Contributor
69,40,Owner
70,216,Contributor
70,47,Contributor
70,228,Contributor
70,302,Contributor
70,244,Contributor
70,74,Owner
70,667,Owner
70,150,Owner
71,242,Contributor
71,723,Contributor
71,180,Owner
72,162,Contributor
72,140,Contributor
72,460,Contributor
72,240,Contributor
72,98,Owner
72,164,Owner
73,154,Contributor
73,480,Owner
74,778,Contributor
74,321,Contributor
74,45,Contributor
74,664,Owner
75,429,Owner
75,416,Owner
75,510,Owner
76,760,Contributor
76,395,Contributor
76,758,Contributor
76,794,Contributor
76,772,Owner
76,583,Owner
77,90,Contributor
77,101,Owner
77,715,Owner
78,285,Contributor
78,174,Owner
78,136,Owner
78,461,Owner
79,307,Contributor
79,222,Contributor
79,217,Contributor
79,647,Owner
79,203,Owner
79,349,Owner
80,249,Contributor
80,520,Contributor
80,305,Owner
80,796,Owner
81,432,Contributor
81,818,Contributor
81,823,Contributor
81,246,Owner
81,752,Owner
82,527,Contributor
82,32,Contributor
82,506,Contributor
82,686,Owner
82,196,Owner
82,808,Owner
83,687,Owner
83,208,Owner
83,542,Owner
84,494,Owner
85,678,Contributor
85,817,Contributor
85,725,Contributor
85,832,Owner
85,354,Owner
86,66,Contributor
86,590,Contributor
86,476,Owner
86,594,Owner
86,42,Owner
87,194,Contributor
87,536,Contributor
87,448,Contributor
87,631,Contributor
87,319,Owner
87,170,Owner
88,653,Contributor
88,2,Contributor
88,13,Contributor
88,324,Owner
89,135,Contributor
89,660,Contributor
89,342,Contributor
89,280,Contributor
89,361,Contributor
89,681,Owner
90,72,Owner
90,434,Owner
90,28,Owner
91,43,Contributor
91,824,Contributor
91,89,Contributor
91,275,Contributor
91,261,Owner
91,406,Owner
91,483,Owner
92,183,Contributor
92,80,Contributor
92,238,Contributor
92,546,Contributor
92,558,Owner
92,296,Owner
92,573,Owner
93,844,Contributor
93,234,Contributor
93,826,Owner
93,176,Owner
93,227,Owner
94,622,Contributor
94,671,Contributor
94,391,Contributor
94,658,Contributor
94,766,Owner
95,201,Contributor
95,799,Contributor
95,711,Contributor
95,61,Contributor
95,595,Owner
95,696,Owner
95,396,Owner
96,218,Contributor
96,265,Contributor
96,730,Owner
96,613,Owner
97,175,Contributor
97,67,Contributor
97,661,Contributor
97,592,Contributor
97,383,Owner
97,637,Owner
97,626,Owner
98,755,Contributor
98,30,Contributor
98,716,Contributor
98,230,Contributor
98,695,Contributor
98,313,Owner
99,601,Contributor
99,800,Contributor
99,743,Contributor
99,485,Contributor
99,247,Contributor
99,734,Owner
100,682,Contributor
100,239,Owner
101,469,Contributor
101,399,Contributor
101,740,Owner
102,786,Contributor
102,620,Contributor
102,684,Contributor
102,513,Owner
102,210,Owner
102,431,Owner
103,615,Contributor
103,288,Owner
103,582,Owner
104,477,Owner
104,487,Owner
105,655,Contributor
105,173,Contributor
105,646,Contributor
105,76,Owner
105,358,Owner
105,836,Owner
106,515,Contributor
106,48,Contributor
106,415,Contributor
106,645,Contributor
106,92,Owner
106,394,Owner
107,163,Contributor
107,726,Contributor
107,581,Contributor
107,547,Contributor
107,93,Owner
107,106,Owner
108,640,Contributor
108,797,Contributor
108,190,Contributor
108,402,Owner
108,801,Owner
108,669,Owner
109,125,Contributor
109,608,Owner
109,543,Owner
109,320,Owner
110,295,Contributor
110,732,Contributor
110,757,Contributor
110,580,Owner
111,745,Owner
112,776,Contributor
112,458,Contributor
112,518,Owner
113,466,Contributor
113,560,Contributor
113,393,Contributor
113,719,Owner
113,370,Owner
114,771,Contributor
114,314,Contributor
114,388,Owner
114,509,Owner
114,471,Owner
115,258,Owner
115,377,Owner
116,528,Contributor
116,724,Contributor
116,328,Contributor
116,563,Owner
117,584,Contributor
117,773,Contributor
117,737,Contributor
117,426,Contributor
117,414,Owner
117,55,Owner
117,353,Owner
118,182,Contributor
118,118,Contributor
118,486,Owner
118,457,Owner
119,60,Contributor
119,332,Contributor
119,690,Contributor
119,540,Owner
119,554,Owner
119,465,Owner
120,698,Owner
120,503,Owner
121,557,Contributor
121,371,Contributor
121,544,Owner
121,519,Owner
121,389,Owner
122,86,Contributor
122,562,Contributor
122,6,Contributor
122,58,Owner
122,447,Owner
122,160,Owner
123,132,Contributor
123,105,Contributor
123,830,Owner
124,789,Owner
125,273,Contributor
125,437,Contributor
125,384,Contributor
125,108,Contributor
125,455,Contributor
125,463,Owner
125,451,Owner
125,34,Owner
126,561,Contributor
126,269,Contributor
126,701,Contributor
126,235,Contributor
126,767,Owner
126,54,Owner
127,578,Contributor
127,4,Contributor
127,109,Contributor
127,401,Contributor
127,777,Owner
127,751,Owner
127,220,Owner
128,357,Contributor
128,462,Contributor
128,149,Contributor
128,260,Owner
129,593,Contributor
129,614,Owner
130,355,Contributor
130,290,Owner
131,693,Contributor
131,390,Contributor
131,11,Contributor
131,303,Contributor
131,309,Contributor
131,56,Owner
131,339,Owner
132,657,Contributor
132,325,Contributor
132,831,Contributor
132,495,Owner
132,146,Owner
132,531,Owner
133,333,Contributor
133,788,Contributor
133,492,Contributor
133,679,Contributor
133,423,Owner
133,114,Owner
133,821,Owner
134,168,Contributor
134,152,Contributor
134,714,Contributor
134,765,Contributor
134,229,Owner
135,9,Contributor
135,363,Owner
135,75,Owner
136,226,Owner
136,775,Owner
137,623,Contributor
137,297,Contributor
137,364,Contributor
137,529,Owner
137,600,Owner
137,819,Owner
138,272,Contributor
138,365,Contributor
138,804,Contributor
138,602,Owner
138,17,Owner
139,284,Contributor
139,633,Contributor
139,299,Contributor
139,15,Owner
139,670,Owner
140,236,Contributor
140,489,Contributor
140,198,Contributor
140,301,Contributor
140,470,Contributor
140,329,Owner
140,212,Owner
140,731,Owner
141,591,Owner
141,111,Owner
141,650,Owner
142,46,Contributor
142,639,Owner
142,294,Owner
142,142,Owner
143,551,Contributor
143,413,Contributor
143,304,Contributor
143,292,Contributor
143,122,Contributor
143,330,Owner
143,346,Owner
144,627,Contributor
144,130,Contributor
144,267,Owner
144,706,Owner
145,311,Contributor
145,110,Owner
145,683,Owner
145,359,Owner
146,166,Contributor
146,263,Contributor
146,250,Owner
146,421,Owner
147,223,Owner
147,838,Owner
148,274,Contributor
148,121,Contributor
148,126,Contributor
148,407,Contributor
148,717,Owner
148,362,Owner
149,373,Contributor
149,24,Contributor
149,559,Contributor
149,343,Contributor
149,376,Contributor
149,87,Owner
149,255,Owner
149,638,Owner
150,398,Contributor
150,810,Contributor
150,833,Contributor
150,189,Contributor
150,783,Owner
150,807,Owner
150,774,Owner
