IssueKey,NaturalKey,CreatedDateKey,OccurredDateKey,IdentifiedDateKey,ModifiedByPersonKey,Title,Type,IsExternalIssue,ImpactsCustomer,IssueAgeDays
25,327ae5d8-ac72-457f-92f7-cf086e175b0f,20240724,20240828,20240515,283,EV-972305 - Disintermediate Collaborative Initiatives,risk_event,true,true,557
26,336b225b-0734-4d14-bc37-0f3db3cdc23f,20240419,20240913,20251121,243,EV-705060 - Maximize Real-Time Channels,risk_event,false,,653
27,34555fed-b447-4c11-ac2a-1818ec2abaee,20240903,20240607,20250928,94,EV-992688 - Streamline Bricks-And-Clicks Info-Mediaries,incident,,,516
28,381d5280-fa19-44d8-9d79-a844ba700ac8,20240401,20240721,20250115,748,EV-255034 - Repurpose Extensible E-Services,risk_event,,,671
29,392c6f51-8f6f-422f-b2a5-93eea1de6855,20240901,20251111,20241018,36,EV-725867 - Incentivize Leading-Edge Partnerships,issue,true,,518
30,39770876-4c30-4cd7-9669-3bb8cf5daecb,20250720,20241031,20241118,779,EV-453864 - Enable Next-Generation Paradigms,issue,,true,196
31,3ac03d1c-daa9-49e9-8247-9e0845589a72,20250418,20240629,20250803,472,EV-352621 - Orchestrate Robust E-Tailers,incident,,,289
32,3c9cd518-f059-40cf-89f4-8b79352ac6c8,20240420,20251230,20240328,441,EV-562121 - Whiteboard B2C Schemas,issue,true,true,652
33,3f9b1eb7-9b8f-4838-a116-e3182fc5ed48,20240602,20251023,20250208,14,EV-989806 - Enable 24/7 Experiences,issue,true,true,609
34,408e9ddf-e8df-4f02-8be6-e3eee3062d6c,20250522,20240912,20250320,606,EV-888776 - Scale Virtual Supply-Chains,issue,false,,255
35,42754e58-0df2-48fe-8f38-c3e69d428ca9,20240911,20250806,20251028,256,EV-880966 - Reinvent Cutting-Edge Eyeballs,issue,,false,508
36,4844ce94-7819-4e32-8a55-507ca8e0ac23,20240804,20250825,20241106,264,EV-924293 - Envisioneer Seamless Channels,incident,false,,546
37,4844d6f9-fd02-44d0-8794-81aee5118bbf,20250312,20240814,20250307,442,EV-642892 - Target Intuitive Architectures,issue,true,,326
38,493a85c9-c3e2-4422-b328-a97a879ee284,20240226,20240203,20250510,735,EV-135994 - Embrace Mission-Critical Content,risk_event,false,,706
39,4a3f37ce-cd72-4684-b145-489edbbe7243,20240605,20250427,20241202,157,EV-231890 - Mesh Visionary Eyeballs,risk_event,true,,606
40,4a7cbd01-237d-47ef-a34c-7c84db4c7655,20240429,20240531,20240214,219,EV-455251 - Transform Out-Of-The-Box Systems,issue,false,false,643
41,4a8d6307-b2c7-496e-bf8f-89885efe91ba,20250715,20241122,20241005,739,EV-165675 - Brand Proactive Relationships,incident,false,true,201
42,4b9b7d2d-7d92-488c-b2aa-44b51f59867f,20250907,20250731,20250317,568,EV-798332 - Productize Rich Mindshare,incident,,true,147
43,4c5ba198-89ae-4762-b8ae-f62dc47d5c7c,20240727,20250511,20250825,586,EV-743256 - Streamline Enterprise Applications,issue,true,true,554
44,4f306e58-7bbe-41e4-a25c-c977c2065288,20240305,20240208,20240707,763,EV-368511 - Deliver Integrated Paradigms,incident,,true,698
45,54629b2c-4826-4c1f-97f6-835b57830520,20240730,20251030,20241219,663,EV-203359 - Unleash 24/365 Synergies,risk_event,,true,551
46,56b009f0-7596-4f15-9e18-863609826a9d,20250522,20240924,20251128,436,EV-150412 - Deploy Magnetic Methodologies,incident,false,true,255
47,5985b1a4-d6eb-4aef-bc41-45a1d8603000,20250325,20240920,20241107,673,EV-736934 - Repurpose B2B Schemas,risk_event,,,313
48,59ed2fa7-3872-4986-9aad-f0c5ffe1b3a3,20240824,20251207,20251210,68,EV-738337 - Utilize Robust Platforms,incident,,,526
49,5c7f72ec-2f23-49fa-870c-203fcc5fe4b1,20250429,20250810,20250219,115,EV-502583 - Monetize Visionary Paradigms,issue,true,false,278
50,5ca749e7-2980-41f6-9ff3-bfe27ae72a8a,20250106,20240626,20250503,334,EV-976238 - Leverage B2C Technologies,incident,,true,391
51,5ee6947e-9031-4d7b-a21b-c9f16f9d529a,20240404,20250107,20240928,699,EV-508114 - Extend B2C Bandwidth,incident,false,false,668
52,5fe6d9f1-5269-4931-966d-f88e1f35bd38,20250504,20241122,20250210,276,EV-501458 - Syndicate Global Interfaces,incident,true,true,273
53,608fdacb-7793-447f-a45c-e19544df86b0,20250902,20240830,20241027,549,EV-590740 - Architect Killer Web Services,incident,true,false,152
54,61686e27-db02-46ec-8710-44ad67464106,20250622,20250911,20240713,482,EV-294736 - Embrace Seamless Experiences,issue,,false,224
55,667d8f7c-d6dd-4dbd-b3d7-2ab8582cdff7,20240225,20240304,20250423,744,EV-974527 - Innovate 24/7 Markets,incident,,false,707
56,67cfa50e-a1f4-43ac-94d8-91f0c02ff9a2,20240214,20250720,20250704,651,EV-497315 - Syndicate Sticky Partnerships,risk_event,false,,718
57,6873d151-a28f-4543-854e-62ff192c3260,20240922,20251016,20241026,521,EV-788384 - Synergize Next-Generation Metrics,incident,true,true,497
58,69db151b-a122-4bb4-a97b-cae0fdec88d6,20250207,20250517,20240713,643,EV-508494 - Engineer 24/7 Technologies,issue,false,,359
59,6dbf61f5-961c-47d5-ae0d-fc9749d5c116,20250528,20251101,20250320,129,EV-938063 - Optimize Vertical Web Services,incident,true,true,249
60,770c67f3-f03a-42b0-bb5b-a7fb495d9918,20241207,20240831,20240822,676,EV-397005 - Benchmark Transparent Web-Readiness,issue,false,false,421
61,788a9135-9a68-4bfe-9599-eb524041a558,20240428,20241124,20250524,19,EV-448111 - Innovate Interactive Mindshare,risk_event,,false,644
62,78a03c1f-9824-41ec-8766-c48a8c830d73,20240518,20250130,20240524,206,EV-233100 - Extend Open-Source Metrics,incident,false,true,624
63,79cc44fa-706d-4a00-8ec7-0e8784823adb,20251121,20250114,20250907,27,EV-173946 - Strategize 24/7 Platforms,incident,false,true,72
64,7a1c9897-662e-4e96-b996-b65f3047ada9,20250118,20250427,20250829,116,EV-671092 - Brand Viral Deliverables,incident,,false,379
65,7a255f79-3f21-4733-a3ee-2b316f4d12fa,20240501,20240308,20250128,769,EV-266263 - Scale Compelling Functionalities,issue,,true,641
66,7c07ed90-aefb-46ed-9bda-8228cd836415,20251205,20250503,20240222,33,EV-409279 - Whiteboard Seamless Relationships,incident,true,,58
67,7e9f4fae-1779-4876-9ef0-3e93125738d5,20240214,20250219,20241009,386,EV-797303 - Cultivate Value-Added Communities,risk_event,true,false,718
68,7ec7d5e5-fe89-41e9-a7f7-39c582e723a0,20250101,20250613,20250506,685,EV-727457 - Syndicate Wireless Communities,incident,false,true,396
69,83269e0b-1e70-4d65-b9ad-5fe696752f33,20240505,20241114,20240506,104,EV-455454 - Morph Dot-Com Info-Mediaries,issue,false,,637
70,833ccdb4-0e72-438c-b998-2e84af17b535,20251207,20250317,20240816,62,EV-471697 - Empower Enterprise Mindshare,issue,true,true,56
71,83d43304-9bf3-4435-a236-0269427a8906,20240503,20251016,20240107,352,EV-675185 - Expedite Intuitive Markets,risk_event,false,false,639
72,8605233b-fbdd-4f0d-9f89-46de03541673,20240507,20241105,20241104,691,EV-884518 - Extend Clicks-And-Mortar Action-Items,issue,,true,635
73,86ef32fa-0b8d-48e6-8128-7c34a2b7e9be,20240113,20240215,20250308,179,EV-333388 - Seize Plug-And-Play Relationships,incident,true,false,750
74,870d8906-d5f5-443c-903a-3dd131f66202,20250108,20240424,20240220,139,EV-815622 - Utilize Distributed Web Services,issue,true,false,389
75,87e2edac-fdab-4b04-ab49-6433872f1096,20240820,20240114,20250210,641,EV-950726 - Re-Intermediate Granular Deliverables,incident,,true,530
76,895b66d6-d8ba-4a8b-8e2e-b56f3d462a82,20251210,20250527,20240223,254,EV-769435 - Generate Killer Niches,issue,,,53
77,89d3eade-25c3-4826-a00b-9fa401831e67,20240812,20240105,20241102,417,EV-856475 - Productize Viral Systems,incident,,,538
78,8a06f69f-1401-4e85-a6cd-3461136d6fbc,20250929,20240722,20251014,81,EV-954146 - Matrix 24/7 Mindshare,issue,,true,125
79,8a4dedf9-a3b3-4694-943a-65bee00d1ef5,20240608,20250708,20250524,636,EV-882672 - Synthesize Strategic Relationships,issue,true,false,603
80,8ab9443b-2466-443a-b7ed-0b2429832737,20240414,20250408,20240809,378,EV-435481 - Transition Wireless Eyeballs,risk_event,,false,658
81,8abb6f01-1248-451c-8059-98b679315ea4,20240906,20241127,20250521,534,EV-455865 - Reinvent Cutting-Edge Web Services,issue,true,,513
82,8c108853-765f-4796-9906-792f2f616230,20240303,20250104,20250817,44,EV-508140 - Reinvent Transparent Partnerships,issue,true,,700
83,8e311c2f-0727-4aac-9877-6ec85073b830,20241007,20240812,20240903,712,EV-965220 - Synthesize Turn-Key Info-Mediaries,incident,,false,482
84,8f8155fc-8334-4007-b4f1-0cfb5e3cb60c,20250702,20250826,20251014,8,EV-340185 - Morph Seamless Bandwidth,risk_event,false,true,214
85,90a79f9c-2577-40f0-a1f8-c3e630441883,20241019,20240429,20240207,225,EV-329490 - Incubate Rich Action-Items,issue,,,470
86,92b2ab2b-0ea6-46c0-a08c-1abe4c34b422,20251022,20241127,20250906,16,EV-919454 - Enable Sticky Users,issue,false,false,102
87,949de67d-b1b6-4423-a0c2-1e7b039ff7da,20250509,20250219,20250420,550,EV-130782 - Integrate Strategic Deliverables,issue,true,true,268
88,94d925ed-2b40-4672-9a40-3b17f474a161,20251204,20240406,20250425,202,EV-664954 - Brand Intuitive Markets,incident,,,59
89,95c98c3b-b7a4-4721-b0ce-80d64474beec,20250528,20240429,20250829,692,EV-660593 - Mesh Customized Relationships,incident,false,true,249
90,96ff44fe-0cd3-47d7-908f-8d7109d195dc,20240207,20240718,20240707,837,EV-622036 - Embrace Turn-Key Bandwidth,incident,,true,725
91,97525b87-adae-4e52-938c-b036a5845e15,20250418,20250318,20250311,119,EV-280413 - Whiteboard Value-Added Infrastructures,risk_event,false,false,289
92,97616c18-9e4b-4cf5-95c3-555c1f566d69,20240207,20250923,20250409,576,EV-846567 - Engage Proactive Solutions,risk_event,false,false,725
93,9e28203a-2699-471b-93a7-151091d9613c,20250410,20250827,20250130,798,EV-505097 - Transition Bleeding-Edge Vortals,risk_event,,true,297
94,9ea8d6c9-9406-4b8d-b0cb-72bd05598148,20241024,20250727,20251205,843,EV-571719 - Utilize B2C Portals,issue,true,,465
95,9ed561f8-c559-4db6-8593-3203e334e5a9,20240503,20250107,20251109,367,EV-811413 - Empower One-To-One Functionalities,issue,true,,639
96,a1cd5b4d-c712-4bf2-9bd3-5a5f1a2edcaf,20241003,20250902,20240120,475,EV-427552 - Engage Magnetic Bandwidth,issue,true,,486
97,a2ddcc8e-c48f-434b-bc4e-9d3a24bff612,20250308,20251001,20240917,508,EV-429783 - Revolutionize Bleeding-Edge Initiatives,incident,true,true,330
98,a42eb4db-d7e4-44b8-8556-206aa6e5e176,20240915,20250405,20240224,813,EV-416068 - Aggregate Transparent Methodologies,incident,true,true,504
99,a4c7fd38-163b-40a2-92f2-2924835340c6,20240712,20251210,20240921,604,EV-617605 - Scale Granular E-Services,issue,,false,569
100,a599e2ba-eb67-4762-8987-3ea189f8a509,20240206,20250304,20240517,257,EV-523354 - Mesh Integrated Experiences,issue,true,false,726
101,a73eeea8-f6a1-46a3-8946-b76523ca3cb5,20250404,20250404,20250617,456,EV-309246 - Transform Distributed Paradigms,incident,,false,303
102,a7cb624e-c752-4874-a381-8c569717403e,20251115,20240619,20240114,137,EV-805928 - Leverage Vertical Platforms,issue,true,false,78
103,a83f3a9d-77a8-48c8-80cc-ad726bf4b43d,20250307,20240116,20250725,318,EV-464021 - Re-Contextualize E-Business Schemas,incident,false,false,331
104,a8c2b099-deb4-4413-9b4b-6100a9e84e18,20251029,20240406,20240118,224,EV-264969 - Drive Transparent Users,risk_event,false,,95
105,aa21c464-4038-4804-b01e-6eec2d9200f3,20251102,20240916,20241005,738,EV-705541 - Transform Value-Added Schemas,issue,,false,91
106,ab55199c-1a1a-466e-872c-554eff67d241,20251107,20251029,20241217,535,EV-581060 - Embrace Intuitive Info-Mediaries,risk_event,true,,86
107,ad5917ec-b631-4a7c-8f32-fe641d0bdc9d,20240115,20241019,20251205,672,EV-230044 - Streamline Clicks-And-Mortar Schemas,incident,true,false,748
108,ad8ab490-ee4e-47e0-bb01-7e8dc7a92bce,20251123,20250522,20240913,181,EV-748027 - Re-Contextualize Virtual Roi,incident,false,true,70
109,b195e1ff-c588-4462-bd21-3a6409181cca,20240315,20250720,20250105,516,EV-119313 - Streamline One-To-One Technologies,incident,,false,688
110,b3554582-6c38-4046-972c-324635a00f17,20251001,20240504,20240806,211,EV-231710 - Transition Holistic Initiatives,incident,,,123
111,b41375c1-3982-4bfa-bba9-513d75c4a7cb,20250220,20250616,20250312,144,EV-963014 - Envisioneer Clicks-And-Mortar Interfaces,incident,,true,346
112,b4c21d65-d780-41e0-8794-081bb6081b32,20250515,20250918,20240903,648,EV-740373 - Mesh Intuitive Technologies,issue,false,,262
113,b74b6ef8-c031-4658-bf48-22985d2ac9ad,20240524,20240413,20250418,569,EV-405230 - Implement Efficient Metrics,risk_event,true,false,618
114,b9ab4e9c-8e7f-4d50-b22a-f581626d6a1a,20251110,20241206,20251205,493,EV-330741 - Evolve Back-End Paradigms,issue,true,true,83
115,b9dc4d6e-9cd7-4b1b-971f-0ff009966538,20241109,20240727,20241106,552,EV-614719 - Envisioneer Collaborative Solutions,risk_event,false,true,449
116,bb29b46b-ea42-4971-a5d9-0c3e8089bab1,20240123,20251223,20250106,828,EV-317244 - Whiteboard Synergistic E-Business,incident,true,true,740
117,bb9041fa-59eb-43e5-8b2e-297df8aeb05b,20251011,20241018,20240616,842,EV-971312 - Integrate B2B Platforms,issue,false,true,113
118,bd9e3867-a1ac-4985-ab6a-77f6fae23a34,20240627,20240525,20251231,781,EV-646944 - Implement 24/7 Vortals,risk_event,false,false,584
119,be7fda8c-e16c-4b21-b2b2-412c99d5510a,20250828,20240926,20240315,452,EV-950552 - Utilize User-Centric Methodologies,issue,false,false,157
120,c11cda06-18e7-44e1-9d0b-509f1d07d099,20250101,20241212,20241220,840,EV-925246 - Cultivate Efficient Systems,risk_event,false,false,396
121,c40c77cf-fc82-4547-9e3c-cbba8cb6e0ca,20250123,20241014,20240822,449,EV-502549 - E-Enable Web-Enabled Users,risk_event,false,false,374
122,c48d1155-6e33-4bf4-ae8e-b1ed996d70fa,20240308,20250222,20240703,148,EV-569526 - Deploy Value-Added Deliverables,issue,true,,695
123,c6f8ad24-9bae-4dfb-b0c3-491929c63f1c,20250220,20251031,20250302,248,EV-426961 - Scale Leading-Edge Niches,risk_event,,false,346
124,c80c4b6e-671f-4c8f-9ed9-a8ce44c8ad90,20241013,20240620,20240824,668,EV-227329 - Synthesize Front-End Supply-Chains,risk_event,false,,476
125,ca6c8bbe-d9bd-4e5e-a047-9f9db72d7f86,20240122,20240319,20241020,450,EV-767950 - Target Innovative Info-Mediaries,risk_event,true,true,741
126,ccc944bb-3edd-494c-9d21-099687b07deb,20241001,20250715,20250915,792,EV-396784 - Integrate Frictionless Action-Items,issue,false,,488
127,d077ba23-c8a8-45da-9d83-71758e31d2b6,20241130,20240110,20250316,625,EV-355296 - Transform Back-End Paradigms,risk_event,,false,428
128,d257ac61-57fc-4e46-a455-e3ce3d0a8a23,20241106,20251229,20250605,38,EV-137615 - Scale Cutting-Edge Initiatives,risk_event,false,true,452
129,d4bb25f9-ad9e-49fa-8f7e-63a65d40665a,20251204,20240615,20250106,677,EV-167327 - Re-Contextualize Innovative E-Services,issue,true,true,59
130,d9168fa7-8840-44e4-989e-5afc23ed53d8,20240405,20241201,20250720,64,EV-671773 - Aggregate B2B Action-Items,incident,,,667
131,d9b84cca-490b-4b53-a658-6954ae48e6ba,20241110,20250820,20241103,713,EV-764145 - Mesh Back-End Metrics,risk_event,false,false,448
132,da02497b-05eb-4e16-9376-8cf2387c0535,20240229,20251024,20241019,279,EV-818828 - Architect Scalable Functionalities,issue,true,true,703
133,db0c3641-8f9d-4275-b9f3-05d845875b70,20250914,20250905,20250812,20,EV-808759 - Envisioneer B2B Niches,risk_event,false,true,140
134,dde1afdc-ae86-459e-a83a-de5ca3d9e8ca,20241110,20250513,20240222,764,EV-570103 - Engineer Granular Eyeballs,risk_event,,true,448
135,dfe1c44f-979f-4f7c-a447-9f3c2b3ee8e8,20241102,20240206,20240120,530,EV-749680 - Incubate Best-Of-Breed Functionalities,issue,true,false,456
136,e078f708-8b25-4cb4-a4e0-52db42378262,20251120,20240415,20241112,750,EV-178843 - Transition Seamless Deliverables,risk_event,,,73
137,e2c4097f-7ae1-4a2b-8cf2-ea9581788ce1,20250223,20250327,20240509,49,EV-669722 - Exploit Transparent E-Markets,risk_event,,,343
138,e42a05f3-040a-4289-80c5-082af80ec074,20250928,20251023,20250326,420,EV-652900 - Unleash Intuitive Architectures,incident,true,false,126
139,e6797bf3-c27f-49a4-bf0e-0d07561e3049,20250726,20250310,20250108,298,EV-326721 - Target Back-End Supply-Chains,risk_event,,true,190
140,e844a131-4b01-4e74-b64e-11d16c21144d,20251231,20250414,20240612,538,EV-245987 - Unleash Magnetic Deliverables,incident,,false,32
141,ead742f6-b4b5-4d46-89a1-20a230875b15,20250527,20250628,20250419,348,EV-205852 - Synergize Back-End Architectures,incident,,,250
142,ed0dd99c-a357-4406-8713-216a01f1d18f,20250222,20240902,20240926,409,EV-903255 - Transform Transparent Bandwidth,risk_event,,false,344
143,f15cedd1-bbeb-43fa-823c-c3d8681ce431,20240806,20240322,20250711,539,EV-838623 - Repurpose Compelling Relationships,issue,,true,544
144,f3f21574-64df-47b5-b256-1b0a9cf9ccd3,20241012,20240717,20250102,702,EV-152880 - Visualize Seamless Applications,incident,true,true,477
145,f4a264df-744e-4924-b994-1a85c17f686f,20250531,20240825,20240420,630,EV-898397 - Incubate Web-Enabled Supply-Chains,incident,false,,246
146,f5266d7a-a9be-4a8d-a0b0-ee3213a7e70e,20241125,20240330,20240904,83,EV-727185 - Leverage Bleeding-Edge Convergence,issue,,,433
147,f6053be9-ef5a-4d58-9e08-9ae9fef4c9a6,20240430,20250120,20240619,306,EV-335304 - Disintermediate Cross-Platform Experiences,risk_event,,true,642
148,f78ddc4b-9b9e-46c2-99d1-c275feed295a,20250420,20250421,20251103,31,EV-930261 - Syndicate Sticky Communities,risk_event,,false,287
149,fb28db24-b9c3-48e8-8c09-1e81f836d3d6,20250515,20240413,20250330,700,EV-708044 - Unleash Leading-Edge Info-Mediaries,issue,false,false,262
150,fc40e6e9-4342-4100-8619-7d3b62487c50,20251101,20240504,20251129,490,EV-218056 - Orchestrate Efficient Users,issue,,,92
