IssueKey,NaturalKey,ModifiedByPersonKey,CreatedDate,OccurredDate,IdentifiedDate,ResolutionDate,CreatedDateKey,Title,Type,CurrentStatus,IsExternalIssue,ImpactsCustomer,OwnerCount,DaysToIdentify,DaysToResolve,IssueAgeDays,IsOpen,IsOrphaned,AgeBucket
22,2de837b5-7184-42b2-9719-8129c6fc17c1,418,2025-01-31,2025-09-18,2024-06-15,2025-03-11,20250131,EV-449849 - E-Enable Sticky Info-Mediaries,incident,open,false,,2,0,269,564,true,false,Critical (>30 Days)
23,2f9fd07f-1e88-4c30-998c-997967ab55ce,247,2024-10-10,2025-04-24,2025-05-28,2025-09-09,20241010,EV-432604 - Deliver Killer Systems,incident,raised,true,false,3,34,104,217,true,false,Critical (>30 Days)
24,2fdf0322-1b91-43f5-83cb-169d51bb5bbb,691,2025-06-30,2025-01-02,2024-12-19,2026-01-02,20250630,EV-339220 - Deploy Strategic Platforms,issue,in_review,,true,2,0,379,377,true,false,Critical (>30 Days)
25,327ae5d8-ac72-457f-92f7-cf086e175b0f,459,2024-07-24,2024-08-28,2024-05-15,2025-08-25,20240724,EV-972305 - Disintermediate Collaborative Initiatives,risk_event,in_review,true,true,2,0,467,595,true,false,Critical (>30 Days)
26,336b225b-0734-4d14-bc37-0f3db3cdc23f,163,2024-04-19,2024-09-13,2025-11-21,2025-10-10,20240419,EV-705060 - Maximize Real-Time Channels,risk_event,raised,false,,2,434,0,40,true,false,Critical (>30 Days)
27,34555fed-b447-4c11-ac2a-1818ec2abaee,1126,2024-09-03,2024-06-07,2025-09-28,2025-07-04,20240903,EV-992688 - Streamline Bricks-And-Clicks Info-Mediaries,incident,open,,,2,478,0,94,true,false,Critical (>30 Days)
28,381d5280-fa19-44d8-9d79-a844ba700ac8,573,2024-04-01,2024-07-21,2025-01-15,2025-07-02,20240401,EV-255034 - Repurpose Extensible E-Services,risk_event,on_hold,,,1,178,168,350,true,false,Critical (>30 Days)
29,392c6f51-8f6f-422f-b2a5-93eea1de6855,524,2024-09-01,2025-11-11,2024-10-18,2025-05-11,20240901,EV-725867 - Incentivize Leading-Edge Partnerships,issue,in_review,true,,3,0,205,439,true,false,Critical (>30 Days)
30,39770876-4c30-4cd7-9669-3bb8cf5daecb,238,2025-07-20,2024-10-31,2024-11-18,2025-10-15,20250720,EV-453864 - Enable Next-Generation Paradigms,issue,closed,,true,3,18,331,408,false,false,Closed
31,3ac03d1c-daa9-49e9-8247-9e0845589a72,183,2025-04-18,2024-06-29,2025-08-03,2025-11-22,20250418,EV-352621 - Orchestrate Robust E-Tailers,incident,closed,,,1,400,111,150,false,false,Closed
32,3c9cd518-f059-40cf-89f4-8b79352ac6c8,941,2024-04-20,2025-12-30,2024-03-28,2025-05-07,20240420,EV-562121 - Whiteboard B2C Schemas,issue,in_review,true,true,2,0,405,643,true,false,Critical (>30 Days)
33,3f9b1eb7-9b8f-4838-a116-e3182fc5ed48,113,2024-06-02,2025-10-23,2025-02-08,2025-06-14,20240602,EV-989806 - Enable 24/7 Experiences,issue,open,true,true,3,0,126,326,true,false,Critical (>30 Days)
34,408e9ddf-e8df-4f02-8be6-e3eee3062d6c,544,2025-05-22,2024-09-12,2025-03-20,2025-06-10,20250522,EV-888776 - Scale Virtual Supply-Chains,issue,closed,false,,3,189,82,286,false,false,Closed
35,42754e58-0df2-48fe-8f38-c3e69d428ca9,1222,2024-09-11,2025-08-06,2025-10-28,2025-02-18,20240911,EV-880966 - Reinvent Cutting-Edge Eyeballs,issue,raised,,false,3,83,0,64,true,false,Critical (>30 Days)
36,4844ce94-7819-4e32-8a55-507ca8e0ac23,316,2024-08-04,2025-08-25,2024-11-06,2025-06-04,20240804,EV-924293 - Envisioneer Seamless Channels,incident,open,false,,3,0,210,420,true,false,Critical (>30 Days)
37,4844d6f9-fd02-44d0-8794-81aee5118bbf,146,2025-03-12,2024-08-14,2025-03-07,2025-10-31,20250312,EV-642892 - Target Intuitive Architectures,issue,open,true,,2,205,238,299,true,false,Critical (>30 Days)
38,493a85c9-c3e2-4422-b328-a97a879ee284,108,2024-02-26,2024-02-03,2025-05-10,2025-01-10,20240226,EV-135994 - Embrace Mission-Critical Content,risk_event,in_review,false,,3,462,0,235,true,false,Critical (>30 Days)
39,4a3f37ce-cd72-4684-b145-489edbbe7243,55,2024-06-05,2025-04-27,2024-12-02,2025-11-15,20240605,EV-231890 - Mesh Visionary Eyeballs,risk_event,raised,true,,3,0,348,394,true,false,Critical (>30 Days)
40,4a7cbd01-237d-47ef-a34c-7c84db4c7655,101,2024-04-29,2024-05-31,2024-02-14,2025-11-22,20240429,EV-455251 - Transform Out-Of-The-Box Systems,issue,on_hold,false,false,3,0,647,686,true,false,Critical (>30 Days)
41,4a8d6307-b2c7-496e-bf8f-89885efe91ba,625,2025-07-15,2024-11-22,2024-10-05,2025-07-04,20250715,EV-165675 - Brand Proactive Relationships,incident,closed,false,true,2,0,272,452,false,false,Closed
42,4b9b7d2d-7d92-488c-b2aa-44b51f59867f,1062,2025-09-07,2025-07-31,2025-03-17,2025-09-22,20250907,EV-798332 - Productize Rich Mindshare,incident,in_review,,true,3,0,189,289,true,false,Critical (>30 Days)
43,4c5ba198-89ae-4762-b8ae-f62dc47d5c7c,1079,2024-07-27,2025-05-11,2025-08-25,2025-10-22,20240727,EV-743256 - Streamline Enterprise Applications,issue,closed,true,true,2,106,58,128,false,false,Closed
44,4f306e58-7bbe-41e4-a25c-c977c2065288,712,2024-03-05,2024-02-08,2024-07-07,2025-05-18,20240305,EV-368511 - Deliver Integrated Paradigms,incident,open,,true,2,150,315,542,true,false,Critical (>30 Days)
45,54629b2c-4826-4c1f-97f6-835b57830520,839,2024-07-30,2025-10-30,2024-12-19,2025-06-28,20240730,EV-203359 - Unleash 24/365 Synergies,risk_event,closed,,true,1,0,191,377,false,false,Closed
46,56b009f0-7596-4f15-9e18-863609826a9d,1041,2025-05-22,2024-09-24,2025-11-28,2025-12-09,20250522,EV-150412 - Deploy Magnetic Methodologies,incident,open,false,true,2,430,11,33,true,false,Critical (>30 Days)
47,5985b1a4-d6eb-4aef-bc41-45a1d8603000,111,2025-03-25,2024-09-20,2024-11-07,2025-07-01,20250325,EV-736934 - Repurpose B2B Schemas,risk_event,on_hold,,,1,48,236,419,true,false,Critical (>30 Days)
48,59ed2fa7-3872-4986-9aad-f0c5ffe1b3a3,246,2024-08-24,2025-12-07,2025-12-10,2025-03-15,20240824,EV-738337 - Utilize Robust Platforms,incident,open,,,3,3,0,21,true,false,Stale (8-30 Days)
49,5c7f72ec-2f23-49fa-870c-203fcc5fe4b1,420,2025-04-29,2025-08-10,2025-02-19,2025-07-03,20250429,EV-502583 - Monetize Visionary Paradigms,issue,raised,true,false,3,0,134,315,true,false,Critical (>30 Days)
50,5ca749e7-2980-41f6-9ff3-bfe27ae72a8a,851,2025-01-06,2024-06-26,2025-05-03,2025-09-22,20250106,EV-976238 - Leverage B2C Technologies,incident,in_review,,true,3,311,142,242,true,false,Critical (>30 Days)
51,5ee6947e-9031-4d7b-a21b-c9f16f9d529a,1110,2024-04-04,2025-01-07,2024-09-28,2025-03-05,20240404,EV-508114 - Extend B2C Bandwidth,incident,closed,false,false,3,0,158,459,false,false,Closed
52,5fe6d9f1-5269-4931-966d-f88e1f35bd38,523,2025-05-04,2024-11-22,2025-02-10,2025-02-03,20250504,EV-501458 - Syndicate Global Interfaces,incident,closed,true,true,1,80,0,324,false,false,Closed
53,608fdacb-7793-447f-a45c-e19544df86b0,754,2025-09-02,2024-08-30,2024-10-27,2025-11-14,20250902,EV-590740 - Architect Killer Web Services,incident,raised,true,false,2,58,383,430,true,false,Critical (>30 Days)
54,61686e27-db02-46ec-8710-44ad67464106,1070,2025-06-22,2025-09-11,2024-07-13,2025-08-14,20250622,EV-294736 - Embrace Seamless Experiences,issue,closed,,false,2,0,397,536,false,false,Closed
55,667d8f7c-d6dd-4dbd-b3d7-2ab8582cdff7,1196,2024-02-25,2024-03-04,2025-04-23,2025-10-03,20240225,EV-974527 - Innovate 24/7 Markets,incident,on_hold,,false,1,415,163,252,true,false,Critical (>30 Days)
56,67cfa50e-a1f4-43ac-94d8-91f0c02ff9a2,1016,2024-02-14,2025-07-20,2025-07-04,2025-12-25,20240214,EV-497315 - Syndicate Sticky Partnerships,risk_event,in_review,false,,3,0,174,180,true,false,Critical (>30 Days)
57,6873d151-a28f-4543-854e-62ff192c3260,814,2024-09-22,2025-10-16,2024-10-26,2025-06-08,20240922,EV-788384 - Synergize Next-Generation Metrics,incident,on_hold,true,true,2,0,225,431,true,false,Critical (>30 Days)
58,69db151b-a122-4bb4-a97b-cae0fdec88d6,677,2025-02-07,2025-05-17,2024-07-13,2025-04-08,20250207,EV-508494 - Engineer 24/7 Technologies,issue,closed,false,,3,0,269,536,false,false,Closed
59,6dbf61f5-961c-47d5-ae0d-fc9749d5c116,344,2025-05-28,2025-11-01,2025-03-20,2025-08-10,20250528,EV-938063 - Optimize Vertical Web Services,incident,open,true,true,3,0,143,286,true,false,Critical (>30 Days)
60,770c67f3-f03a-42b0-bb5b-a7fb495d9918,197,2024-12-07,2024-08-31,2024-08-22,2025-01-16,20241207,EV-397005 - Benchmark Transparent Web-Readiness,issue,closed,false,false,2,0,147,496,false,false,Closed
61,788a9135-9a68-4bfe-9599-eb524041a558,741,2024-04-28,2024-11-24,2025-05-24,2026-01-09,20240428,EV-448111 - Innovate Interactive Mindshare,risk_event,open,,false,2,181,230,221,true,false,Critical (>30 Days)
62,78a03c1f-9824-41ec-8766-c48a8c830d73,959,2024-05-18,2025-01-30,2024-05-24,2025-08-05,20240518,EV-233100 - Extend Open-Source Metrics,incident,raised,false,true,3,0,438,586,true,false,Critical (>30 Days)
63,79cc44fa-706d-4a00-8ec7-0e8784823adb,670,2025-11-21,2025-01-14,2025-09-07,2025-04-26,20251121,EV-173946 - Strategize 24/7 Platforms,incident,closed,false,true,2,236,0,115,false,false,Closed
64,7a1c9897-662e-4e96-b996-b65f3047ada9,444,2025-01-18,2025-04-27,2025-08-29,2025-08-07,20250118,EV-671092 - Brand Viral Deliverables,incident,in_review,,false,2,124,0,124,true,false,Critical (>30 Days)
65,7a255f79-3f21-4733-a3ee-2b316f4d12fa,989,2024-05-01,2024-03-08,2025-01-28,2025-01-26,20240501,EV-266263 - Scale Compelling Functionalities,issue,open,,true,3,326,0,337,true,false,Critical (>30 Days)
66,7c07ed90-aefb-46ed-9bda-8228cd836415,457,2025-12-05,2025-05-03,2024-02-22,2025-08-24,20251205,EV-409279 - Whiteboard Seamless Relationships,incident,open,true,,1,0,549,678,true,false,Critical (>30 Days)
67,7e9f4fae-1779-4876-9ef0-3e93125738d5,518,2024-02-14,2025-02-19,2024-10-09,2025-09-26,20240214,EV-797303 - Cultivate Value-Added Communities,risk_event,open,true,false,3,0,352,448,true,false,Critical (>30 Days)
68,7ec7d5e5-fe89-41e9-a7f7-39c582e723a0,476,2025-01-01,2025-06-13,2025-05-06,2025-08-23,20250101,EV-727457 - Syndicate Wireless Communities,incident,open,false,true,1,0,109,239,true,false,Critical (>30 Days)
69,83269e0b-1e70-4d65-b9ad-5fe696752f33,955,2024-05-05,2024-11-14,2024-05-06,2025-08-01,20240505,EV-455454 - Morph Dot-Com Info-Mediaries,issue,in_review,false,,1,0,452,604,true,false,Critical (>30 Days)
70,833ccdb4-0e72-438c-b998-2e84af17b535,725,2025-12-07,2025-03-17,2024-08-16,2025-07-28,20251207,EV-471697 - Empower Enterprise Mindshare,issue,closed,true,true,3,0,346,502,false,false,Closed
71,83d43304-9bf3-4435-a236-0269427a8906,166,2024-05-03,2025-10-16,2024-01-07,2025-11-14,20240503,EV-675185 - Expedite Intuitive Markets,risk_event,on_hold,false,false,1,0,677,724,true,false,Critical (>30 Days)
72,8605233b-fbdd-4f0d-9f89-46de03541673,235,2024-05-07,2024-11-05,2024-11-04,2025-11-29,20240507,EV-884518 - Extend Clicks-And-Mortar Action-Items,issue,raised,,true,2,0,390,422,true,false,Critical (>30 Days)
73,86ef32fa-0b8d-48e6-8128-7c34a2b7e9be,1276,2024-01-13,2024-02-15,2025-03-08,2025-11-26,20240113,EV-333388 - Seize Plug-And-Play Relationships,incident,open,true,false,1,387,263,298,true,false,Critical (>30 Days)
74,870d8906-d5f5-443c-903a-3dd131f66202,69,2025-01-08,2024-04-24,2024-02-20,2025-10-31,20250108,EV-815622 - Utilize Distributed Web Services,issue,raised,true,false,1,0,619,680,true,false,Critical (>30 Days)
75,87e2edac-fdab-4b04-ab49-6433872f1096,291,2024-08-20,2024-01-14,2025-02-10,2025-12-19,20240820,EV-950726 - Re-Intermediate Granular Deliverables,incident,open,,true,3,393,312,324,true,false,Critical (>30 Days)
76,895b66d6-d8ba-4a8b-8e2e-b56f3d462a82,836,2025-12-10,2025-05-27,2024-02-23,2025-02-26,20251210,EV-769435 - Generate Killer Niches,issue,closed,,,2,0,369,677,false,false,Closed
77,89d3eade-25c3-4826-a00b-9fa401831e67,185,2024-08-12,2024-01-05,2024-11-02,2025-10-07,20240812,EV-856475 - Productize Viral Systems,incident,in_review,,,2,302,339,424,true,false,Critical (>30 Days)
78,8a06f69f-1401-4e85-a6cd-3461136d6fbc,390,2025-09-29,2024-07-22,2025-10-14,2025-09-18,20250929,EV-954146 - Matrix 24/7 Mindshare,issue,closed,,true,3,449,0,78,false,false,Closed
79,8a4dedf9-a3b3-4694-943a-65bee00d1ef5,264,2024-06-08,2025-07-08,2025-05-24,2025-02-18,20240608,EV-882672 - Synthesize Strategic Relationships,issue,open,true,false,3,0,0,221,true,false,Critical (>30 Days)
80,8ab9443b-2466-443a-b7ed-0b2429832737,1285,2024-04-14,2025-04-08,2024-08-09,2025-03-18,20240414,EV-435481 - Transition Wireless Eyeballs,risk_event,raised,,false,2,0,221,509,true,false,Critical (>30 Days)
81,8abb6f01-1248-451c-8059-98b679315ea4,630,2024-09-06,2024-11-27,2025-05-21,2025-02-15,20240906,EV-455865 - Reinvent Cutting-Edge Web Services,issue,on_hold,true,,2,175,0,224,true,false,Critical (>30 Days)
82,8c108853-765f-4796-9906-792f2f616230,497,2024-03-03,2025-01-04,2025-08-17,2025-09-06,20240303,EV-508140 - Reinvent Transparent Partnerships,issue,open,true,,3,225,20,136,true,false,Critical (>30 Days)
83,8e311c2f-0727-4aac-9877-6ec85073b830,326,2024-10-07,2024-08-12,2024-09-03,2025-05-27,20241007,EV-965220 - Synthesize Turn-Key Info-Mediaries,incident,closed,,false,3,22,266,484,false,false,Closed
84,8f8155fc-8334-4007-b4f1-0cfb5e3cb60c,1052,2025-07-02,2025-08-26,2025-10-14,2026-01-12,20250702,EV-340185 - Morph Seamless Bandwidth,risk_event,on_hold,false,true,1,49,90,78,true,false,Critical (>30 Days)
85,90a79f9c-2577-40f0-a1f8-c3e630441883,539,2024-10-19,2024-04-29,2024-02-07,2025-04-19,20241019,EV-329490 - Incubate Rich Action-Items,issue,on_hold,,,2,0,437,693,true,false,Critical (>30 Days)
86,92b2ab2b-0ea6-46c0-a08c-1abe4c34b422,607,2025-10-22,2024-11-27,2025-09-06,2025-03-05,20251022,EV-919454 - Enable Sticky Users,issue,closed,false,false,3,283,0,116,false,false,Closed
87,949de67d-b1b6-4423-a0c2-1e7b039ff7da,1083,2025-05-09,2025-02-19,2025-04-20,2025-10-01,20250509,EV-130782 - Integrate Strategic Deliverables,issue,raised,true,true,2,60,164,255,true,false,Critical (>30 Days)
88,94d925ed-2b40-4672-9a40-3b17f474a161,540,2025-12-04,2024-04-06,2025-04-25,2025-11-06,20251204,EV-664954 - Brand Intuitive Markets,incident,in_review,,,1,384,195,250,true,false,Critical (>30 Days)
89,95c98c3b-b7a4-4721-b0ce-80d64474beec,1169,2025-05-28,2024-04-29,2025-08-29,2025-12-15,20250528,EV-660593 - Mesh Customized Relationships,incident,closed,false,true,1,487,108,124,false,false,Closed
90,96ff44fe-0cd3-47d7-908f-8d7109d195dc,28,2024-02-07,2024-07-18,2024-07-07,2025-09-26,20240207,EV-622036 - Embrace Turn-Key Bandwidth,incident,on_hold,,true,3,0,446,542,true,false,Critical (>30 Days)
91,97525b87-adae-4e52-938c-b036a5845e15,960,2025-04-18,2025-03-18,2025-03-11,2025-06-04,20250418,EV-280413 - Whiteboard Value-Added Infrastructures,risk_event,raised,false,false,3,0,85,295,true,false,Critical (>30 Days)
92,97616c18-9e4b-4cf5-95c3-555c1f566d69,799,2024-02-07,2025-09-23,2025-04-09,2025-05-07,20240207,EV-846567 - Engage Proactive Solutions,risk_event,on_hold,false,false,3,0,28,266,true,false,Critical (>30 Days)
93,9e28203a-2699-471b-93a7-151091d9613c,1069,2025-04-10,2025-08-27,2025-01-30,2025-06-20,20250410,EV-505097 - Transition Bleeding-Edge Vortals,risk_event,raised,,true,3,0,141,335,true,false,Critical (>30 Days)
94,9ea8d6c9-9406-4b8d-b0cb-72bd05598148,762,2024-10-24,2025-07-27,2025-12-05,2025-07-11,20241024,EV-571719 - Utilize B2C Portals,issue,raised,true,,1,131,0,26,true,false,Stale (8-30 Days)
95,9ed561f8-c559-4db6-8593-3203e334e5a9,751,2024-05-03,2025-01-07,2025-11-09,2025-04-18,20240503,EV-811413 - Empower One-To-One Functionalities,issue,open,true,,3,306,0,52,true,false,Critical (>30 Days)
96,a1cd5b4d-c712-4bf2-9bd3-5a5f1a2edcaf,88,2024-10-03,2025-09-02,2024-01-20,2025-07-21,20241003,EV-427552 - Engage Magnetic Bandwidth,issue,raised,true,,2,0,548,711,true,false,Critical (>30 Days)
97,a2ddcc8e-c48f-434b-bc4e-9d3a24bff612,616,2025-03-08,2025-10-01,2024-09-17,2025-03-23,20250308,EV-429783 - Revolutionize Bleeding-Edge Initiatives,incident,open,true,true,3,0,187,470,true,false,Critical (>30 Days)
98,a42eb4db-d7e4-44b8-8556-206aa6e5e176,860,2024-09-15,2025-04-05,2024-02-24,2025-04-08,20240915,EV-416068 - Aggregate Transparent Methodologies,incident,on_hold,true,true,1,0,409,676,true,false,Critical (>30 Days)
99,a4c7fd38-163b-40a2-92f2-2924835340c6,68,2024-07-12,2025-12-10,2024-09-21,2025-02-27,20240712,EV-617605 - Scale Granular E-Services,issue,open,,false,1,0,159,466,true,false,Critical (>30 Days)
100,a599e2ba-eb67-4762-8987-3ea189f8a509,879,2024-02-06,2025-03-04,2024-05-17,2025-07-01,20240206,EV-523354 - Mesh Integrated Experiences,issue,on_hold,true,false,1,0,410,593,true,false,Critical (>30 Days)
101,a73eeea8-f6a1-46a3-8946-b76523ca3cb5,819,2025-04-04,2025-04-04,2025-06-17,2025-08-24,20250404,EV-309246 - Transform Distributed Paradigms,incident,open,,false,1,74,68,197,true,false,Critical (>30 Days)
102,a7cb624e-c752-4874-a381-8c569717403e,296,2025-11-15,2024-06-19,2024-01-14,2025-03-05,20251115,EV-805928 - Leverage Vertical Platforms,issue,in_review,true,false,3,0,416,717,true,false,Critical (>30 Days)
103,a83f3a9d-77a8-48c8-80cc-ad726bf4b43d,36,2025-03-07,2024-01-16,2025-07-25,2025-07-20,20250307,EV-464021 - Re-Contextualize E-Business Schemas,incident,in_review,false,false,2,556,0,159,true,false,Critical (>30 Days)
104,a8c2b099-deb4-4413-9b4b-6100a9e84e18,872,2025-10-29,2024-04-06,2024-01-18,2025-03-13,20251029,EV-264969 - Drive Transparent Users,risk_event,closed,false,,2,0,420,713,false,false,Closed
105,aa21c464-4038-4804-b01e-6eec2d9200f3,631,2025-11-02,2024-09-16,2024-10-05,2025-12-21,20251102,EV-705541 - Transform Value-Added Schemas,issue,raised,,false,3,19,442,452,true,false,Critical (>30 Days)
106,ab55199c-1a1a-466e-872c-554eff67d241,599,2025-11-07,2025-10-29,2024-12-17,2025-05-25,20251107,EV-581060 - Embrace Intuitive Info-Mediaries,risk_event,on_hold,true,,2,0,159,379,true,false,Critical (>30 Days)
107,ad5917ec-b631-4a7c-8f32-fe641d0bdc9d,485,2024-01-15,2024-10-19,2025-12-05,2025-07-11,20240115,EV-230044 - Streamline Clicks-And-Mortar Schemas,incident,raised,true,false,2,412,0,26,true,false,Stale (8-30 Days)
108,ad8ab490-ee4e-47e0-bb01-7e8dc7a92bce,298,2025-11-23,2025-05-22,2024-09-13,2025-12-15,20251123,EV-748027 - Re-Contextualize Virtual Roi,incident,in_review,false,true,3,0,458,474,true,false,Critical (>30 Days)
109,b195e1ff-c588-4462-bd21-3a6409181cca,1277,2024-03-15,2025-07-20,2025-01-05,2025-02-20,20240315,EV-119313 - Streamline One-To-One Technologies,incident,open,,false,3,0,46,360,true,false,Critical (>30 Days)
110,b3554582-6c38-4046-972c-324635a00f17,64,2025-10-01,2024-05-04,2024-08-06,2025-09-30,20251001,EV-231710 - Transition Holistic Initiatives,incident,in_review,,,1,94,420,512,true,false,Critical (>30 Days)
111,b41375c1-3982-4bfa-bba9-513d75c4a7cb,215,2025-02-20,2025-06-16,2025-03-12,2025-07-08,20250220,EV-963014 - Envisioneer Clicks-And-Mortar Interfaces,incident,open,,true,1,0,118,294,true,false,Critical (>30 Days)
112,b4c21d65-d780-41e0-8794-081bb6081b32,603,2025-05-15,2025-09-18,2024-09-03,2025-09-10,20250515,EV-740373 - Mesh Intuitive Technologies,issue,open,false,,1,0,372,484,true,false,Critical (>30 Days)
113,b74b6ef8-c031-4658-bf48-22985d2ac9ad,1031,2024-05-24,2024-04-13,2025-04-18,2025-06-12,20240524,EV-405230 - Implement Efficient Metrics,risk_event,on_hold,true,false,2,370,55,257,true,false,Critical (>30 Days)
114,b9ab4e9c-8e7f-4d50-b22a-f581626d6a1a,1096,2025-11-10,2024-12-06,2025-12-05,2025-06-18,20251110,EV-330741 - Evolve Back-End Paradigms,issue,raised,true,true,3,364,0,26,true,false,Stale (8-30 Days)
115,b9dc4d6e-9cd7-4b1b-971f-0ff009966538,164,2024-11-09,2024-07-27,2024-11-06,2025-12-25,20241109,EV-614719 - Envisioneer Collaborative Solutions,risk_event,open,false,true,2,102,414,420,true,false,Critical (>30 Days)
116,bb29b46b-ea42-4971-a5d9-0c3e8089bab1,94,2024-01-23,2025-12-23,2025-01-06,2025-04-08,20240123,EV-317244 - Whiteboard Synergistic E-Business,incident,open,true,true,1,0,92,359,true,false,Critical (>30 Days)
117,bb9041fa-59eb-43e5-8b2e-297df8aeb05b,150,2025-10-11,2024-10-18,2024-06-16,2025-07-01,20251011,EV-971312 - Integrate B2B Platforms,issue,closed,false,true,3,0,380,563,false,false,Closed
